채용글번호,지원금/보험,급여제도,선물,교육/생활,근무 환경,조직문화,출퇴근,리프레시
42894513,,,,,,,탄력근무제,
42644167,"건강검진, 각종 경조사 지원, 통신비 지원","인센티브제, 장기근속자 포상, 퇴직금, 연차수당, 4대 보험",,"도서구입비지원, 점심식사 제공, 저녁식사 제공, 간식 제공, 음료제공(차, 커피)",공기청정기,자유복장,"야간교통비지급, 탄력근무제, 주 40시간제 시행","연차, 반차, 창립일휴무, 근로자의 날 휴무, 포상휴가, 육아휴직"
42768748,각종 경조사 지원,"퇴직연금, 4대 보험",명절선물/귀향비,"워크샵, 점심식사 제공, 저녁식사 제공",,"회식강요 안함, 야근강요 안함, 자유복장",야간교통비지급,"연차, 여름휴가, 반차, 근로자의 날 휴무"
42890277,"건강검진, 통신비 지원","인센티브제, 퇴직금, 4대 보험","명절선물/귀향비, 생일선물/파티","창립일행사, 워크샵, 신입사원교육(OJT), 직무능력향상교육, 리더쉽강화교육, 도서구입비지원, 멘토링제도, 자격증취득지원, 교육비 지원, 사내동호회 운영, 사우회(경조사회), 식비 지원, 음료제공(차, 커피)","회의실, 공기청정기, 카페테리아, 문턱 없음, 노트북, 사무용품 지급",수평적 조직문화,야간교통비지급,"연차, 경조휴가제, 반차, 근로자의 날 휴무, 산전 후 휴가, 육아휴직, 남성출산휴가, 휴양시설 제공"
42890152,,"퇴직금, 성과급, 4대 보험","명절선물/귀향비, 생일선물/파티","직무능력향상교육, 도서구입비지원, 점심식사 제공, 저녁식사 제공",,"수평적 조직문화, 회식강요 안함, 자유복장",회사차량 있음,"연차, 여름휴가, 근로자의 날 휴무"
42818896,,,,간식 제공,,,,"여름휴가, 경조휴가제, Refresh휴가"
42889377,각종 경조사 지원,"스톡옵션, 퇴직금, 4대 보험",,,"휴게실, 회의실, 공기청정기, 카페테리아, 사내도서관, 사무용품 지급",,"탄력근무제, 재택근무, 주 52시간제 준수",
42889353,,"퇴직연금, 4대 보험",명절선물/귀향비,,,자유복장,,"연차, 여름휴가, 경조휴가제, 반차, 창립일휴무, 근로자의 날 휴무"
42888255,"건강검진, 헬스비 지급","퇴직연금, 장기근속자 포상, 우수사원포상, 4대 보험",,"음료제공(차, 커피)",,"회식강요 안함, 자유복장",,"연차, 여름휴가"
42888024,,"인센티브제, 퇴직금, 4대 보험","명절선물/귀향비, 생일선물/파티","워크샵, 도서구입비지원, 저녁식사 제공, 간식 제공, 음료제공(차, 커피)","회의실, 공기청정기, 카페테리아",,,연차
42882834,,"퇴직연금, 인센티브제, 성과급",,,"회의실, 노트북, 사원증",,"기숙사 운영, 탄력근무제","연차, 근로자의 날 휴무"
42827006,"건강검진, 각종 경조사 지원, 업무활동비 지급, 문화생활비, 복지카드/포인트","인센티브제, 상여금, 장기근속자 포상, 우수사원포상, 퇴직금, 성과급, 4대 보험","명절선물/귀향비, 생일선물/파티, 웰컴키트 지급, 생일자 조기퇴근, 장기근속 선물","워크샵, 도서구입비지원, 저녁식사 제공, 음료제공(차, 커피)","휴게실, 회의실, 공기청정기, 카페테리아, 사내도서관, 사무용품 지급","회식강요 안함, 야근강요 안함, 자유복장, 자유로운 연차사용, 님/닉네임 문화",,"연차, 경조휴가제, 반차, Refresh휴가, 근로자의 날 휴무, 산전 후 휴가, 육아휴직"
42878060,"건강검진, 각종 경조사 지원","퇴직금, 장기근속수당, 4대 보험","생일선물/파티, 결혼기념일선물, 도서 무제한 제공, 생일자 조기퇴근","도서구입비지원, 저녁식사 제공, 간식 제공, 음료제공(차, 커피)","휴게실, 수면실, 회의실, 공기청정기, 카페테리아, 노트북, 사원증, 사무용품 지급, 최고 성능 컴퓨터, 안마실/안마의자","수평적 조직문화, 야근강요 안함, 자유복장, 자유로운 연차사용, 님/닉네임 문화","야간교통비지급, 주차장제공, 탄력근무제, 주 52시간제 준수, 자율 근무제","연차, 경조휴가제, 반차, 근로자의 날 휴무"
42878581,,"퇴직연금, 인센티브제, 상여금, 스톡옵션, 성과급, 4대 보험",명절선물/귀향비,"창립일행사, 우수사원시상식, 점심식사 제공, 저녁식사 제공","회의실, 공기청정기, 노트북",자유복장,,"연차, 반차"
42876239,,"상여금, 성과급, 4대 보험",,"창립일행사, 우수사원시상식, 간식 제공, 음료제공(차, 커피)","회의실, 공기청정기, 사무용품 지급, 최고 성능 컴퓨터","회식강요 안함, 야근강요 안함, 자유복장","주차장제공, 회사차량 있음, 주 52시간제 준수","연차, 반차"
42873027,,"퇴직금, 4대 보험",,"음료제공(차, 커피)",,"수평적 조직문화, 야근강요 안함, 자유복장, 자유로운 연차사용",,
42620884,,"퇴직연금, 4대 보험",명절선물/귀향비,"도서구입비지원, 구내식당(사원식당), 점심식사 제공, 음료제공(차, 커피)","사내 어린이집 운영, 회의실, 사무용품 지급, 최고 성능 컴퓨터","회식강요 안함, 야근강요 안함, 자유복장, 자유로운 연차사용, 칼퇴근 보장","주차장제공, 주 40시간제 시행","연차, 여름휴가, 반차, 시간제 연차"
42869529,각종 경조사 지원,"퇴직연금, 장기근속자 포상, 우수사원포상, 퇴직금, 4대 보험",,"창립일행사, 우수사원시상식, 워크샵, 간식 제공, 음료제공(차, 커피)","휴게실, 회의실, 공기청정기, 카페테리아, 사내 정원","무제한 연차, 수평적 조직문화, 회식강요 안함, 야근강요 안함, 자유복장, 자유로운 연차사용, 님/닉네임 문화, 칼퇴근 보장, 문화 회식","탄력근무제, 재택근무, 주 40시간제 시행, 자율 근무제","연차, Refresh휴가, 시간제 연차"
42867802,"건강검진, 각종 경조사 지원","퇴직금, 4대 보험",,"창립일행사, 신입사원교육(OJT), 사내동호회 운영","사원증, 사무용품 지급",수평적 조직문화,,"연차, 경조휴가제"
42867612,,"퇴직금, 야근수당, 휴일(특근)수당",,"창립일행사, 교육비 지원, 점심식사 제공, 간식 제공, 음료제공(차, 커피)",,,,
42866036,,"퇴직연금, 인센티브제, 4대 보험",,"도서구입비지원, 자기계발비 지원",,,,
42854030,,"퇴직금, 4대 보험",,점심식사 제공,,"회식강요 안함, 야근강요 안함, 자유복장",,연차
42863599,"건강검진, 각종 경조사 지원, 단체 상해보험, 선택적복리후생",,,"점심식사 제공, 저녁식사 제공",,"수평적 조직문화, 자유복장",탄력근무제,"Refresh휴가, 육아휴직"
42862994,"건강검진, 각종 경조사 지원, 단체 상해보험, 선택적복리후생",,,"점심식사 제공, 저녁식사 제공",,"수평적 조직문화, 자유복장",탄력근무제,"Refresh휴가, 육아휴직"
42862836,,"퇴직연금, 인센티브제, 4대 보험",생일선물/파티,점심식사 제공,,,,연차
42862269,"건강검진, 의료비지원(본인), 직원대출제도, 각종 경조사 지원, 선택적복리후생, 자녀학자금","퇴직연금, 인센티브제, 퇴직금, 성과급, 4대 보험","명절선물/귀향비, 생일선물/파티","워크샵, 사내동호회 운영, 사우회(경조사회), 음료제공(차, 커피)","휴게실, 회의실, 노트북, 사원증, 콘도/리조트 이용권, 사무용품 지급","야근강요 안함, 자유복장",,"연차, 경조휴가제, 반차, 근로자의 날 휴무, 산전 후 휴가, 휴양시설 제공"
42809040,"단체 상해보험, 헬스비 지급, 문화생활비, 선택적복리후생, 복지카드/포인트","인센티브제, 상여금, 우수사원포상, 퇴직금, 성과급, 4대 보험","창립일선물지급, 생일선물/파티, 웰컴키트 지급","창립일행사, 워크샵, 신입사원교육(OJT), 직무능력향상교육, 도서구입비지원, 자격증취득지원, 교육비 지원, 자기계발비 지원, 저녁식사 제공, 사내동호회 운영, 간식 제공, 음료제공(차, 커피)","휴게실, 회의실, 공기청정기, 노트북","노조/노사협의회, 수평적 조직문화, 회식강요 안함, 야근강요 안함, 자유복장, 자유로운 연차사용, 문화 회식","탄력근무제, 주 52시간제 준수","연차, 경조휴가제, 반차, 창립일휴무, 근로자의 날 휴무, 시간제 연차"
42542194,건강검진,"퇴직금, 4대 보험",,"워크샵, 신입사원교육(OJT), 저녁식사 제공, 음료제공(차, 커피)","회의실, 노트북, 사원증","회식강요 안함, 자유복장","야간교통비지급, 주차장제공, 회사차량 있음","연차, 여름휴가"
42860550,금연수당,"퇴직연금, 장기근속자 포상, 성과급, 4대 보험","명절선물/귀향비, 도서 무제한 제공, 생일자 조기퇴근","워크샵, 자기계발비 지원, 간식 제공, 식비 지원, 음료제공(차, 커피)","휴게실, 회의실, 공기청정기, 게임기, 사내 정원, 노트북, 최고 성능 컴퓨터, 안마실/안마의자","수평적 조직문화, 회식강요 안함, 야근강요 안함, 자유복장, 님/닉네임 문화","탄력근무제, 주 52시간제 준수","연차, 경조휴가제, 반차, 근로자의 날 휴무, 육아휴직"
42859410,,"인센티브제, 상여금, 퇴직금, 4대 보험",,"직무능력향상교육, 도서구입비지원, 교육비 지원, 저녁식사 제공, 간식 제공, 음료제공(차, 커피), 컨퍼런스 개최",,,,
42858634,,"퇴직금, 성과급, 4대 보험","명절선물/귀향비, 도서 무제한 제공","도서구입비지원, 교육비 지원, 간식 제공, 식비 지원","휴게실, 회의실, 공기청정기, 사무용품 지급, 최고 성능 컴퓨터","수평적 조직문화, 회식강요 안함, 야근강요 안함, 자유로운 연차사용, 님/닉네임 문화","탄력근무제, 재택근무",
42809203,,"퇴직금, 성과급, 4대 보험","명절선물/귀향비, 도서 무제한 제공","도서구입비지원, 교육비 지원, 간식 제공, 식비 지원","휴게실, 회의실, 공기청정기, 사무용품 지급, 최고 성능 컴퓨터","수평적 조직문화, 회식강요 안함, 야근강요 안함, 자유로운 연차사용, 님/닉네임 문화","탄력근무제, 재택근무",
42857282,,4대 보험,,"음료제공(차, 커피)",,"야근강요 안함, 자유복장",주 40시간제 시행,연차
42855184,"건강검진, 각종 경조사 지원","상여금, 우수사원포상, 퇴직금, 성과급, 직책수당, 장기근속수당, 4대 보험",,,"회의실, 공기청정기, 카페테리아, 비상경보장치, 스마트기기, 노트북, 사무용품 지급, 최고 성능 컴퓨터",,"차량유류비지급, 사택제공, 주 52시간제 준수",
42854650,,"퇴직연금, 장기근속수당, 4대 보험","명절선물/귀향비, 생일선물/파티","신입사원교육(OJT), 간식 제공, 음료제공(차, 커피)","공기청정기, 사원증, 사무용품 지급",자유복장,,연차
42851114,,"상여금, 퇴직금, 4대 보험",도서 무제한 제공,"도서구입비지원, 교육비 지원, 간식 제공, 식비 지원, 음료제공(차, 커피)","휴게실, 회의실, 공기청정기",자유복장,탄력근무제,"연차, 반차"
42817123,"건강검진, 각종 경조사 지원","퇴직연금, 장기근속자 포상, 퇴직금, 4대 보험",생일선물/파티,"신입사원교육(OJT), 사내동호회 운영, 사우회(경조사회), 음료제공(차, 커피)","휴게실, 회의실, 공기청정기, 콘도/리조트 이용권, 사무용품 지급",자유복장,,"연차, 경조휴가제, 반차, Refresh휴가, 근로자의 날 휴무, 산전 후 휴가, 육아휴직, 남성출산휴가"
42844625,각종 경조사 지원,"퇴직연금, 인센티브제, 장기근속자 포상, 퇴직금, 야근수당, 직책수당, 4대 보험",명절선물/귀향비,"직무능력향상교육, 자기계발비 지원, 식비 지원","회의실, 공기청정기, 자회사 제품할인, 사무용품 지급, 최고 성능 컴퓨터","회식강요 안함, 야근강요 안함, 자유복장, 자유로운 연차사용, 칼퇴근 보장","주차비지원, 주 52시간제 준수","연차, 경조휴가제, 반차, 근로자의 날 휴무"
42840468,"건강검진, 각종 경조사 지원, 단체 상해보험","퇴직연금, 4대 보험",명절선물/귀향비,"사우회(경조사회), 식비 지원, 음료제공(차, 커피)","회의실, 공기청정기, 사무용품 지급",,"주차장제공, 주차비지원","연차, 근로자의 날 휴무"
42775525,,"장기근속자 포상, 우수사원포상, 스톡옵션, 퇴직금, 성과급, 4대 보험",,,"회의실, 노트북, 사무용품 지급",,탄력근무제,
42831530,"건강검진, 각종 경조사 지원, 선택적복리후생","퇴직연금, 장기근속자 포상, 우수사원포상, 4대 보험","명절선물/귀향비, 생일선물/파티","우수사원시상식, 워크샵, 도서구입비지원, 저녁식사 제공, 사내동호회 운영, 아침식사 제공, 음료제공(차, 커피)","자회사 제품할인, 사무용품 지급","야근강요 안함, 자유복장",,"연차, 근로자의 날 휴무, 산전 후 휴가, 육아휴직"
42567382,"건강검진, 각종 경조사 지원, 단체 상해보험","퇴직연금, 인센티브제, 장기근속자 포상, 우수사원포상, 스톡옵션, 4대 보험","명절선물/귀향비, 생일선물/파티","우수사원시상식, 워크샵, 플레이샵, 신입사원교육(OJT), 직무능력향상교육, 리더쉽강화교육, 도서구입비지원, 멘토링제도, 자격증취득지원, 교육비 지원, 점심식사 제공, 사내동호회 운영, 음료제공(차, 커피)","휴게실, 회의실, 공기청정기, 노트북, 사무용품 지급","노조/노사협의회, 수평적 조직문화, 회식강요 안함, 야근강요 안함, 자유복장",회사차량 있음,"연차, 경조휴가제, 반차, Refresh휴가, 근로자의 날 휴무, 포상휴가, 산전 후 휴가, 육아휴직, 남성출산휴가, 보건휴가"
42789839,,4대 보험,명절선물/귀향비,"워크샵, 도서구입비지원, 자격증취득지원, 점심식사 제공, 간식 제공","공기청정기, 노트북",,,
42588635,각종 경조사 지원,"인센티브제, 퇴직금, 자격증수당, 4대 보험",명절선물/귀향비,"점심식사 제공, 사내동호회 운영, 음료제공(차, 커피)",회의실,"수평적 조직문화, 회식강요 안함, 야근강요 안함, 자유복장, 자유로운 연차사용, 칼퇴근 보장, 문화 회식","주차장제공, 탄력근무제, 주 40시간제 시행","연차, 여름휴가, 반차, 근로자의 날 휴무"
42576520,"건강검진, 각종 경조사 지원, 헬스비 지급, 자녀학자금","퇴직연금, 인센티브제, 상여금, 장기근속자 포상, 우수사원포상, 퇴직금, 성과급, 연차수당, 장기근속수당, 4대 보험","명절선물/귀향비, 창립일선물지급, 생일선물/파티, 크리스마스 선물, 결혼기념일선물, 임신/출산 선물, 장기근속 선물","창립일행사, 우수사원시상식, 워크샵, 플레이샵, 신입사원교육(OJT), 직무능력향상교육, 리더쉽강화교육, 자기계발비 지원, 구내식당(사원식당), 점심식사 제공, 저녁식사 제공, 사내동호회 운영, 사우회(경조사회), 간식 제공, 식비 지원, 음료제공(차, 커피), 점심시간 연장제도, 취미 프로그램 운영, 가족 초청 행사","휴게실, 회의실, 공기청정기, 카페테리아, 전용 사옥, 사내 정원, 유니폼지급, 노트북, 사무용품 지급","회식강요 안함, 야근강요 안함, 자유복장",회사차량 있음,"연차, 여름휴가, 경조휴가제, 반차, Refresh휴가, 근로자의 날 휴무, 휴가비지원, 포상휴가"
42745190,"직원대출제도, 각종 경조사 지원","퇴직연금, 상여금, 휴일(특근)수당, 4대 보험",명절선물/귀향비,"도서구입비지원, 점심식사 제공, 간식 제공, 식비 지원, 음료제공(차, 커피)","회의실, 공기청정기, 카페테리아, 문턱 없음, 유니폼지급, 노트북, 콘도/리조트 이용권, 사무용품 지급, 최고 성능 컴퓨터","회식강요 안함, 야근강요 안함, 자유복장, 자유로운 연차사용, 칼퇴근 보장","회사차량 있음, 주 40시간제 시행","연차, 경조휴가제, 반차, 근로자의 날 휴무, 휴양시설 제공"
42817721,"건강검진, 직원대출제도, 해외여행 지원, 선택적복리후생","퇴직연금, 장기근속자 포상, 우수사원포상, 퇴직금, 직책수당, 4대 보험","창립일선물지급, 생일선물/파티, 크리스마스 선물","창립일행사, 우수사원시상식, 워크샵, 플레이샵, 직무능력향상교육, 도서구입비지원, 교육비 지원, 자기계발비 지원, 점심식사 제공, 간식 제공, 음료제공(차, 커피)","휴게실, 공기청정기, 카페테리아, 사원증, 사무용품 지급","야근강요 안함, 자유복장, 캐주얼데이",,연차
42816968,건강검진,"퇴직연금, 4대 보험",생일선물/파티,"워크샵, 플레이샵, 신입사원교육(OJT), 도서구입비지원, 저녁식사 제공, 간식 제공, 식비 지원, 음료제공(차, 커피)","휴게실, 수면실, 회의실, 공기청정기, 카페테리아, 게임기, 스마트기기, 노트북, 최고 성능 컴퓨터","회식강요 안함, 야근강요 안함, 자유복장, 님/닉네임 문화",탄력근무제,"연차, 창립일휴무, 근로자의 날 휴무"
42814930,,"장기근속자 포상, 우수사원포상, 퇴직금",생일선물/파티,"우수사원시상식, 도서구입비지원, 자격증취득지원, 간식 제공",,문화 회식,,연차
42805979,각종 경조사 지원,"장기근속자 포상, 퇴직금, 성과급, 4대 보험","명절선물/귀향비, 생일선물/파티, 장기근속 선물","간식 제공, 식비 지원, 음료제공(차, 커피)","회의실, 공기청정기, 카페테리아",,야간교통비지급,"연차, 근로자의 날 휴무, 육아휴직"
42746611,건강검진,"인센티브제, 장기근속자 포상, 퇴직금, 성과급, 4대 보험","명절선물/귀향비, 임신/출산 선물","워크샵, 신입사원교육(OJT), 교육비 지원, 저녁식사 제공, 음료제공(차, 커피)","회의실, 공기청정기, 카페테리아, 유니폼지급, 노트북, 최고 성능 컴퓨터","수평적 조직문화, 회식강요 안함, 야근강요 안함, 자유복장, 자유로운 연차사용",,"연차, 경조휴가제, 근로자의 날 휴무, 포상휴가, 육아휴직, 남성출산휴가, 보건휴가"
42810703,,4대 보험,,,노트북,,야간교통비지급,
42810665,,4대 보험,,,노트북,,야간교통비지급,
42810399,,4대 보험,,,노트북,,야간교통비지급,
42808053,"각종 경조사 지원, 업무활동비 지급, 문화생활비","퇴직연금, 인센티브제, 상여금, 스톡옵션, 4대 보험","명절선물/귀향비, 도서 무제한 제공","창립일행사, 직무능력향상교육, 교육비 지원, 자기계발비 지원, 구내식당(사원식당), 점심식사 제공, 저녁식사 제공, 간식 제공, 음료제공(차, 커피)","휴게실, 회의실, 공기청정기, 카페테리아, 문턱 없음, 사원증, 자회사 제품할인, 사무용품 지급, 최고 성능 컴퓨터","수평적 조직문화, 회식강요 안함, 야근강요 안함, 자유복장, 자유로운 연차사용, 칼퇴근 보장","탄력근무제, 주 52시간제 준수, 자율 근무제","연차, 창립일휴무, 근로자의 날 휴무, 포상휴가"
42800334,,"퇴직금, 연차수당, 4대 보험",,"교육비 지원, 점심식사 제공",휴게실,자유복장,주차장제공,
42805396,"건강검진, 각종 경조사 지원, 업무활동비 지급, 해외여행 지원","퇴직연금, 장기근속자 포상, 우수사원포상, 퇴직금, 4대 보험","명절선물/귀향비, 생일선물/파티, 크리스마스 선물, 웰컴키트 지급, 장기근속 선물","워크샵, 신입사원교육(OJT), 직무능력향상교육, 도서구입비지원, 멘토링제도, 저녁식사 제공, 간식 제공, 음료제공(차, 커피), 해외 워크샵, 가족 초청 행사, 신규입사자 멘토 제도","휴게실, 회의실, 공기청정기, 전용 사옥, 노트북, 사원증, 사무용품 지급","회식강요 안함, 야근강요 안함, 자유복장, 문화 회식","야간교통비지급, 회사차량 있음","연차, 여름휴가, 경조휴가제, 반차, 근로자의 날 휴무, 포상휴가"
42805361,,"퇴직연금, 4대 보험",,,,,,
42718362,,"퇴직연금, 4대 보험",웰컴키트 지급,직무능력향상교육,"휴게실, 최고 성능 컴퓨터","수평적 조직문화, 님/닉네임 문화",탄력근무제,연차
42799573,각종 경조사 지원,"퇴직연금, 스톡옵션, 4대 보험","명절선물/귀향비, 창립일선물지급","워크샵, 직무능력향상교육, 도서구입비지원, 외국어 교육 지원, 자격증취득지원, 교육비 지원, 간식 제공, 음료제공(차, 커피)","휴게실, 수면실, 회의실, 공기청정기, 카페테리아, 게임기, 노트북, 사무용품 지급, 최고 성능 컴퓨터, 안마실/안마의자","자유복장, 자유로운 연차사용, 님/닉네임 문화","야간교통비지급, 탄력근무제","연차, 여름휴가, 반차, 근로자의 날 휴무"
42785512,"의료비지원(본인), 금연수당, 통신비 지원","퇴직연금, 휴일(특근)수당, 연차수당, 자격증수당, 4대 보험",,"점심식사 제공, 음료제공(차, 커피)",공기청정기,,,
42801300,,4대 보험,,"창립일행사, 워크샵, 점심식사 제공, 저녁식사 제공, 간식 제공, 식비 지원, 음료제공(차, 커피)","휴게실, 회의실, 게임기, 사내 정원, 사무용품 지급","회식강요 안함, 야근강요 안함, 자유복장, 자유로운 연차사용",,"연차, 여름휴가, 경조휴가제, 반차, Refresh휴가, 근로자의 날 휴무"
42801296,,4대 보험,,"창립일행사, 워크샵, 점심식사 제공, 저녁식사 제공, 간식 제공, 식비 지원, 음료제공(차, 커피)","휴게실, 회의실, 게임기, 사내 정원, 사무용품 지급","회식강요 안함, 야근강요 안함, 자유복장, 자유로운 연차사용",,"연차, 여름휴가, 경조휴가제, 반차, Refresh휴가, 근로자의 날 휴무"
42777330,,"상여금, 연차수당, 4대 보험",,"간식 제공, 음료제공(차, 커피)",휴게실,,,
42794449,"건강검진, 각종 경조사 지원, 자녀학자금","장기근속자 포상, 퇴직금, 직책수당, 4대 보험",창립일선물지급,"구내식당(사원식당), 저녁식사 제공",카페테리아,자유복장,,"연차, 산전 후 휴가, 육아휴직"
42764032,,"상여금, 퇴직금, 4대 보험",,"음료제공(차, 커피)","휴게실, 회의실, 공기청정기, 사내 정원, 사무용품 지급, 최고 성능 컴퓨터","회식강요 안함, 자유복장, 님/닉네임 문화",,연차
42793556,"의료비지원(본인), 업무활동비 지급, 문화생활비, 선택적복리후생","인센티브제, 직책수당, 4대 보험",,,"회의실, 문턱 없음, 노트북, 자회사 제품할인, 사무용품 지급, 최고 성능 컴퓨터",,"주거비 지원, 재택근무",
42787830,,"퇴직연금, 인센티브제, 상여금, 장기근속자 포상, 우수사원포상, 스톡옵션, 4대 보험",,,,,,
42773506,"건강검진, 각종 경조사 지원","인센티브제, 상여금, 퇴직금, 성과급, 4대 보험",,"직무능력향상교육, 도서구입비지원, 자기계발비 지원, 저녁식사 제공, 간식 제공, 음료제공(차, 커피)","휴게실, 회의실, 카페테리아, 노트북, 사무용품 지급","자유복장, 자유로운 연차사용",야간교통비지급,"연차, 반차"
42785344,"건강검진, 각종 경조사 지원, 문화생활비, 통신비 지원","퇴직연금, 장기근속자 포상, 연차수당, 4대 보험","명절선물/귀향비, 생일선물/파티, 생일자 조기퇴근","워크샵, 신입사원교육(OJT), 도서구입비지원, 교육비 지원, 자기계발비 지원, 사내동호회 운영, 간식 제공, 음료제공(차, 커피), 점심시간 연장제도","휴게실, 회의실, 공기청정기, 스마트기기, 노트북, 사내도서관, 사무용품 지급, 최고 성능 컴퓨터","회식강요 안함, 야근강요 안함, 자유복장, 자유로운 연차사용","야간교통비지급, 탄력근무제, 재택근무","연차, 반차, Refresh휴가, 근로자의 날 휴무, 포상휴가"
42718786,건강검진,"퇴직연금, 장기근속자 포상, 우수사원포상, 휴일(특근)수당, 직책수당, 4대 보험","명절선물/귀향비, 생일선물/파티","교육비 지원, 사내동호회 운영, 식비 지원",회의실,자유복장,,"연차, 경조휴가제, 근로자의 날 휴무, 산전 후 휴가, 육아휴직, 휴양시설 제공"
42779134,,"스톡옵션, 퇴직금, 성과급, 4대 보험","생일선물/파티, 결혼기념일선물, 도서 무제한 제공",우수사원시상식,"휴게실, 수면실, 회의실, 카페테리아, 사내도서관, 최고 성능 컴퓨터","무제한 연차, 수평적 조직문화, 회식강요 안함, 야근강요 안함",자율 근무제,"연차, 여름휴가, 경조휴가제, 반차, Refresh휴가"
42772984,"건강검진, 의료비지원(본인), 선택적복리후생","인센티브제, 4대 보험",생일선물/파티,"창립일행사, 워크샵, 교육비 지원, 점심식사 제공, 식비 지원, 음료제공(차, 커피)",회의실,"수평적 조직문화, 회식강요 안함, 야근강요 안함, 자유복장",야간교통비지급,"연차, 경조휴가제, 반차, 근로자의 날 휴무, 산전 후 휴가, 육아휴직, 남성출산휴가"
42770127,건강검진,"퇴직연금, 상여금, 퇴직금, 4대 보험",명절선물/귀향비,"워크샵, 음료제공(차, 커피), 해외 워크샵","휴게실, 회의실, 공기청정기, 카페테리아, 게임기","수평적 조직문화, 회식강요 안함, 야근강요 안함, 자유복장, 자유로운 연차사용, 칼퇴근 보장",자율 근무제,"연차, 여름휴가, 반차, 근로자의 날 휴무"
42768325,"건강검진, 각종 경조사 지원, 문화생활비, 해외여행 지원","인센티브제, 장기근속자 포상, 우수사원포상, 퇴직금, 4대 보험","명절선물/귀향비, 생일선물/파티","창립일행사, 우수사원시상식, 워크샵, 신입사원교육(OJT), 직무능력향상교육, 리더쉽강화교육, 도서구입비지원, 교육비 지원, 자기계발비 지원, 구내식당(사원식당), 사내동호회 운영, 음료제공(차, 커피)","휴게실, 회의실, 전용 사옥, 노트북, 사무용품 지급",자유복장,,"연차, 경조휴가제, Refresh휴가, 포상휴가, 산전 후 휴가, 육아휴직"
42767875,"건강검진, 각종 경조사 지원, 선택적복리후생","인센티브제, 장기근속자 포상, 우수사원포상, 스톡옵션, 퇴직금, 4대 보험","명절선물/귀향비, 생일선물/파티, 도서 무제한 제공, 웰컴키트 지급, 생일자 조기퇴근","워크샵, 신입사원교육(OJT), 도서구입비지원, 멘토링제도, 교육비 지원, 저녁식사 제공, 음료제공(차, 커피)","휴게실, 회의실, 카페테리아, 사내 정원","수평적 조직문화, 회식강요 안함, 야근강요 안함, 자유복장, 자유로운 연차사용, 님/닉네임 문화","야간교통비지급, 주차장제공","연차, 여름휴가, 경조휴가제, 반차, Refresh휴가, 근로자의 날 휴무, 산전 후 휴가, 육아휴직, 남성출산휴가, 보건휴가"
42767786,,"인센티브제, 우수사원포상, 퇴직금, 4대 보험",명절선물/귀향비,"우수사원시상식, 워크샵, 플레이샵, 도서구입비지원, 교육비 지원, 저녁식사 제공, 음료제공(차, 커피)","회의실, 공기청정기, 장애인 전용주차장, 문턱 없음, 노트북, 사무용품 지급","회식강요 안함, 자유복장",,"연차, 여름휴가, 경조휴가제, 반차, 근로자의 날 휴무, 포상휴가"
42767725,"건강검진, 각종 경조사 지원, 선택적복리후생","인센티브제, 장기근속자 포상, 우수사원포상, 스톡옵션, 퇴직금, 4대 보험","명절선물/귀향비, 생일선물/파티, 도서 무제한 제공, 웰컴키트 지급, 생일자 조기퇴근","워크샵, 신입사원교육(OJT), 도서구입비지원, 멘토링제도, 교육비 지원, 저녁식사 제공, 음료제공(차, 커피)","휴게실, 회의실, 카페테리아, 사내 정원","수평적 조직문화, 회식강요 안함, 야근강요 안함, 자유복장, 자유로운 연차사용, 님/닉네임 문화","야간교통비지급, 주차장제공","연차, 여름휴가, 경조휴가제, 반차, Refresh휴가, 근로자의 날 휴무, 산전 후 휴가, 육아휴직, 남성출산휴가, 보건휴가"
42765996,,"퇴직연금, 장기근속수당, 4대 보험",명절선물/귀향비,"도서구입비지원, 교육비 지원, 점심식사 제공",,"수평적 조직문화, 회식강요 안함, 야근강요 안함, 자유복장",탄력근무제,"연차, 여름휴가, 경조휴가제, 반차, 근로자의 날 휴무, 휴가비지원"
42750165,"금연수당, 각종 경조사 지원","인센티브제, 장기근속자 포상, 우수사원포상, 스톡옵션, 퇴직금, 성과급, 야근수당, 휴일(특근)수당, 연차수당, 자격증수당, 4대 보험",명절선물/귀향비,"우수사원시상식, 도서구입비지원, 자격증취득지원, 교육비 지원, 점심식사 제공, 저녁식사 제공, 사내동호회 운영, 간식 제공, 취미 프로그램 운영","휴게실, 회의실, 공기청정기, 카페테리아, 사내 정원, 장애인 화장실, 문턱 없음, 노트북, 사원증, 사무용품 지급, 최고 성능 컴퓨터","수평적 조직문화, 회식강요 안함, 야근강요 안함, 자유복장, 자유로운 연차사용, 님/닉네임 문화, 칼퇴근 보장","야간교통비지급, 주차장제공, 회사차량 있음, 주 52시간제 준수, 주 40시간제 시행","연차, 여름휴가, 경조휴가제, 반차, 근로자의 날 휴무, 포상휴가, 육아휴직"
42754286,,"퇴직연금, 4대 보험",생일선물/파티,,"회의실, 사무용품 지급, 최고 성능 컴퓨터","수평적 조직문화, 회식강요 안함, 야근강요 안함, 자유복장, 자유로운 연차사용",야간교통비지급,연차
42754257,,"퇴직연금, 4대 보험",생일선물/파티,,"회의실, 카페테리아, 사무용품 지급, 최고 성능 컴퓨터","수평적 조직문화, 회식강요 안함, 야근강요 안함, 자유복장, 자유로운 연차사용",야간교통비지급,연차
